City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
fairbanks,alaska,https://fairbanks.craigslist.org,https://fairbanks.craigslist.org/search/jjj?query=Orthodontist,https://fairbanks.craigslist.org/search/jjj?query=Oral+Surgeon,https://fairbanks.craigslist.org/search/jjj?query=Periodontist,https://fairbanks.craigslist.org/search/jjj?query=Endodontist,https://fairbanks.craigslist.org/search/jjj?query=Pedodontist,https://fairbanks.craigslist.org/search/jjj?query=Dental+Specialist,https://fairbanks.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://fairbanks.craigslist.org/search/jjj?query=Prosthodontist
kenai peninsula,alaska,https://kenai.craigslist.org,https://kenai.craigslist.org/search/jjj?query=Orthodontist,https://kenai.craigslist.org/search/jjj?query=Oral+Surgeon,https://kenai.craigslist.org/search/jjj?query=Periodontist,https://kenai.craigslist.org/search/jjj?query=Endodontist,https://kenai.craigslist.org/search/jjj?query=Pedodontist,https://kenai.craigslist.org/search/jjj?query=Dental+Specialist,https://kenai.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://kenai.craigslist.org/search/jjj?query=Prosthodontist
southeast alaska,alaska,https://juneau.craigslist.org,https://juneau.craigslist.org/search/jjj?query=Orthodontist,https://juneau.craigslist.org/search/jjj?query=Oral+Surgeon,https://juneau.craigslist.org/search/jjj?query=Periodontist,https://juneau.craigslist.org/search/jjj?query=Endodontist,https://juneau.craigslist.org/search/jjj?query=Pedodontist,https://juneau.craigslist.org/search/jjj?query=Dental+Specialist,https://juneau.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://juneau.craigslist.org/search/jjj?query=Prosthodontist
flagstaff / sedona,arizona,https://flagstaff.craigslist.org,https://flagstaff.craigslist.org/search/jjj?query=Orthodontist,https://flagstaff.craigslist.org/search/jjj?query=Oral+Surgeon,https://flagstaff.craigslist.org/search/jjj?query=Periodontist,https://flagstaff.craigslist.org/search/jjj?query=Endodontist,https://flagstaff.craigslist.org/search/jjj?query=Pedodontist,https://flagstaff.craigslist.org/search/jjj?query=Dental+Specialist,https://flagstaff.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://flagstaff.craigslist.org/search/jjj?query=Prosthodontist
mohave county,arizona,https://mohave.craigslist.org,https://mohave.craigslist.org/search/jjj?query=Orthodontist,https://mohave.craigslist.org/search/jjj?query=Oral+Surgeon,https://mohave.craigslist.org/search/jjj?query=Periodontist,https://mohave.craigslist.org/search/jjj?query=Endodontist,https://mohave.craigslist.org/search/jjj?query=Pedodontist,https://mohave.craigslist.org/search/jjj?query=Dental+Specialist,https://mohave.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://mohave.craigslist.org/search/jjj?query=Prosthodontist
phoenix,arizona,https://phoenix.craigslist.org,https://phoenix.craigslist.org/search/jjj?query=Orthodontist,https://phoenix.craigslist.org/search/jjj?query=Oral+Surgeon,https://phoenix.craigslist.org/search/jjj?query=Periodontist,https://phoenix.craigslist.org/search/jjj?query=Endodontist,https://phoenix.craigslist.org/search/jjj?query=Pedodontist,https://phoenix.craigslist.org/search/jjj?query=Dental+Specialist,https://phoenix.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://phoenix.craigslist.org/search/jjj?query=Prosthodontist
prescott,arizona,https://prescott.craigslist.org,https://prescott.craigslist.org/search/jjj?query=Orthodontist,https://prescott.craigslist.org/search/jjj?query=Oral+Surgeon,https://prescott.craigslist.org/search/jjj?query=Periodontist,https://prescott.craigslist.org/search/jjj?query=Endodontist,https://prescott.craigslist.org/search/jjj?query=Pedodontist,https://prescott.craigslist.org/search/jjj?query=Dental+Specialist,https://prescott.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://prescott.craigslist.org/search/jjj?query=Prosthodontist
show low,arizona,https://showlow.craigslist.org,https://showlow.craigslist.org/search/jjj?query=Orthodontist,https://showlow.craigslist.org/search/jjj?query=Oral+Surgeon,https://showlow.craigslist.org/search/jjj?query=Periodontist,https://showlow.craigslist.org/search/jjj?query=Endodontist,https://showlow.craigslist.org/search/jjj?query=Pedodontist,https://showlow.craigslist.org/search/jjj?query=Dental+Specialist,https://showlow.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://showlow.craigslist.org/search/jjj?query=Prosthodontist
sierra vista,arizona,https://sierravista.craigslist.org,https://sierravista.craigslist.org/search/jjj?query=Orthodontist,https://sierravista.craigslist.org/search/jjj?query=Oral+Surgeon,https://sierravista.craigslist.org/search/jjj?query=Periodontist,https://sierravista.craigslist.org/search/jjj?query=Endodontist,https://sierravista.craigslist.org/search/jjj?query=Pedodontist,https://sierravista.craigslist.org/search/jjj?query=Dental+Specialist,https://sierravista.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://sierravista.craigslist.org/search/jjj?query=Prosthodontist
tucson,arizona,https://tucson.craigslist.org,https://tucson.craigslist.org/search/jjj?query=Orthodontist,https://tucson.craigslist.org/search/jjj?query=Oral+Surgeon,https://tucson.craigslist.org/search/jjj?query=Periodontist,https://tucson.craigslist.org/search/jjj?query=Endodontist,https://tucson.craigslist.org/search/jjj?query=Pedodontist,https://tucson.craigslist.org/search/jjj?query=Dental+Specialist,https://tucson.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://tucson.craigslist.org/search/jjj?query=Prosthodontist
yuma,arizona,https://yuma.craigslist.org,https://yuma.craigslist.org/search/jjj?query=Orthodontist,https://yuma.craigslist.org/search/jjj?query=Oral+Surgeon,https://yuma.craigslist.org/search/jjj?query=Periodontist,https://yuma.craigslist.org/search/jjj?query=Endodontist,https://yuma.craigslist.org/search/jjj?query=Pedodontist,https://yuma.craigslist.org/search/jjj?query=Dental+Specialist,https://yuma.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://yuma.craigslist.org/search/jjj?query=Prosthodontist
fayetteville,arkansas,https://fayar.craigslist.org,https://fayar.craigslist.org/search/jjj?query=Orthodontist,https://fayar.craigslist.org/search/jjj?query=Oral+Surgeon,https://fayar.craigslist.org/search/jjj?query=Periodontist,https://fayar.craigslist.org/search/jjj?query=Endodontist,https://fayar.craigslist.org/search/jjj?query=Pedodontist,https://fayar.craigslist.org/search/jjj?query=Dental+Specialist,https://fayar.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://fayar.craigslist.org/search/jjj?query=Prosthodontist
