City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
logan,utah,https://logan.craigslist.org,https://logan.craigslist.org/search/jjj?query=Orthodontist,https://logan.craigslist.org/search/jjj?query=Oral+Surgeon,https://logan.craigslist.org/search/jjj?query=Periodontist,https://logan.craigslist.org/search/jjj?query=Endodontist,https://logan.craigslist.org/search/jjj?query=Pedodontist,https://logan.craigslist.org/search/jjj?query=Dental+Specialist,https://logan.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://logan.craigslist.org/search/jjj?query=Prosthodontist
ogden-clearfield,utah,https://ogden.craigslist.org,https://ogden.craigslist.org/search/jjj?query=Orthodontist,https://ogden.craigslist.org/search/jjj?query=Oral+Surgeon,https://ogden.craigslist.org/search/jjj?query=Periodontist,https://ogden.craigslist.org/search/jjj?query=Endodontist,https://ogden.craigslist.org/search/jjj?query=Pedodontist,https://ogden.craigslist.org/search/jjj?query=Dental+Specialist,https://ogden.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://ogden.craigslist.org/search/jjj?query=Prosthodontist
provo / orem,utah,https://provo.craigslist.org,https://provo.craigslist.org/search/jjj?query=Orthodontist,https://provo.craigslist.org/search/jjj?query=Oral+Surgeon,https://provo.craigslist.org/search/jjj?query=Periodontist,https://provo.craigslist.org/search/jjj?query=Endodontist,https://provo.craigslist.org/search/jjj?query=Pedodontist,https://provo.craigslist.org/search/jjj?query=Dental+Specialist,https://provo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://provo.craigslist.org/search/jjj?query=Prosthodontist
salt lake city,utah,https://saltlakecity.craigslist.org,https://saltlakecity.craigslist.org/search/jjj?query=Orthodontist,https://saltlakecity.craigslist.org/search/jjj?query=Oral+Surgeon,https://saltlakecity.craigslist.org/search/jjj?query=Periodontist,https://saltlakecity.craigslist.org/search/jjj?query=Endodontist,https://saltlakecity.craigslist.org/search/jjj?query=Pedodontist,https://saltlakecity.craigslist.org/search/jjj?query=Dental+Specialist,https://saltlakecity.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://saltlakecity.craigslist.org/search/jjj?query=Prosthodontist
st george,utah,https://stgeorge.craigslist.org,https://stgeorge.craigslist.org/search/jjj?query=Orthodontist,https://stgeorge.craigslist.org/search/jjj?query=Oral+Surgeon,https://stgeorge.craigslist.org/search/jjj?query=Periodontist,https://stgeorge.craigslist.org/search/jjj?query=Endodontist,https://stgeorge.craigslist.org/search/jjj?query=Pedodontist,https://stgeorge.craigslist.org/search/jjj?query=Dental+Specialist,https://stgeorge.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://stgeorge.craigslist.org/search/jjj?query=Prosthodontist
