City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
baton rouge,louisiana,https://batonrouge.craigslist.org,https://batonrouge.craigslist.org/search/jjj?query=Orthodontist,https://batonrouge.craigslist.org/search/jjj?query=Oral+Surgeon,https://batonrouge.craigslist.org/search/jjj?query=Periodontist,https://batonrouge.craigslist.org/search/jjj?query=Endodontist,https://batonrouge.craigslist.org/search/jjj?query=Pedodontist,https://batonrouge.craigslist.org/search/jjj?query=Dental+Specialist,https://batonrouge.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://batonrouge.craigslist.org/search/jjj?query=Prosthodontist
central louisiana,louisiana,https://cenla.craigslist.org,https://cenla.craigslist.org/search/jjj?query=Orthodontist,https://cenla.craigslist.org/search/jjj?query=Oral+Surgeon,https://cenla.craigslist.org/search/jjj?query=Periodontist,https://cenla.craigslist.org/search/jjj?query=Endodontist,https://cenla.craigslist.org/search/jjj?query=Pedodontist,https://cenla.craigslist.org/search/jjj?query=Dental+Specialist,https://cenla.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://cenla.craigslist.org/search/jjj?query=Prosthodontist
houma,louisiana,https://houma.craigslist.org,https://houma.craigslist.org/search/jjj?query=Orthodontist,https://houma.craigslist.org/search/jjj?query=Oral+Surgeon,https://houma.craigslist.org/search/jjj?query=Periodontist,https://houma.craigslist.org/search/jjj?query=Endodontist,https://houma.craigslist.org/search/jjj?query=Pedodontist,https://houma.craigslist.org/search/jjj?query=Dental+Specialist,https://houma.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://houma.craigslist.org/search/jjj?query=Prosthodontist
lafayette,louisiana,https://lafayette.craigslist.org,https://lafayette.craigslist.org/search/jjj?query=Orthodontist,https://lafayette.craigslist.org/search/jjj?query=Oral+Surgeon,https://lafayette.craigslist.org/search/jjj?query=Periodontist,https://lafayette.craigslist.org/search/jjj?query=Endodontist,https://lafayette.craigslist.org/search/jjj?query=Pedodontist,https://lafayette.craigslist.org/search/jjj?query=Dental+Specialist,https://lafayette.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://lafayette.craigslist.org/search/jjj?query=Prosthodontist
lake charles,louisiana,https://lakecharles.craigslist.org,https://lakecharles.craigslist.org/search/jjj?query=Orthodontist,https://lakecharles.craigslist.org/search/jjj?query=Oral+Surgeon,https://lakecharles.craigslist.org/search/jjj?query=Periodontist,https://lakecharles.craigslist.org/search/jjj?query=Endodontist,https://lakecharles.craigslist.org/search/jjj?query=Pedodontist,https://lakecharles.craigslist.org/search/jjj?query=Dental+Specialist,https://lakecharles.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://lakecharles.craigslist.org/search/jjj?query=Prosthodontist
monroe,louisiana,https://monroe.craigslist.org,https://monroe.craigslist.org/search/jjj?query=Orthodontist,https://monroe.craigslist.org/search/jjj?query=Oral+Surgeon,https://monroe.craigslist.org/search/jjj?query=Periodontist,https://monroe.craigslist.org/search/jjj?query=Endodontist,https://monroe.craigslist.org/search/jjj?query=Pedodontist,https://monroe.craigslist.org/search/jjj?query=Dental+Specialist,https://monroe.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://monroe.craigslist.org/search/jjj?query=Prosthodontist
new orleans,louisiana,https://neworleans.craigslist.org,https://neworleans.craigslist.org/search/jjj?query=Orthodontist,https://neworleans.craigslist.org/search/jjj?query=Oral+Surgeon,https://neworleans.craigslist.org/search/jjj?query=Periodontist,https://neworleans.craigslist.org/search/jjj?query=Endodontist,https://neworleans.craigslist.org/search/jjj?query=Pedodontist,https://neworleans.craigslist.org/search/jjj?query=Dental+Specialist,https://neworleans.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://neworleans.craigslist.org/search/jjj?query=Prosthodontist
shreveport,louisiana,https://shreveport.craigslist.org,https://shreveport.craigslist.org/search/jjj?query=Orthodontist,https://shreveport.craigslist.org/search/jjj?query=Oral+Surgeon,https://shreveport.craigslist.org/search/jjj?query=Periodontist,https://shreveport.craigslist.org/search/jjj?query=Endodontist,https://shreveport.craigslist.org/search/jjj?query=Pedodontist,https://shreveport.craigslist.org/search/jjj?query=Dental+Specialist,https://shreveport.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://shreveport.craigslist.org/search/jjj?query=Prosthodontist
