City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
boulder,colorado,https://boulder.craigslist.org,https://boulder.craigslist.org/search/jjj?query=Orthodontist,https://boulder.craigslist.org/search/jjj?query=Oral+Surgeon,https://boulder.craigslist.org/search/jjj?query=Periodontist,https://boulder.craigslist.org/search/jjj?query=Endodontist,https://boulder.craigslist.org/search/jjj?query=Pedodontist,https://boulder.craigslist.org/search/jjj?query=Dental+Specialist,https://boulder.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://boulder.craigslist.org/search/jjj?query=Prosthodontist
colorado springs,colorado,https://cosprings.craigslist.org,https://cosprings.craigslist.org/search/jjj?query=Orthodontist,https://cosprings.craigslist.org/search/jjj?query=Oral+Surgeon,https://cosprings.craigslist.org/search/jjj?query=Periodontist,https://cosprings.craigslist.org/search/jjj?query=Endodontist,https://cosprings.craigslist.org/search/jjj?query=Pedodontist,https://cosprings.craigslist.org/search/jjj?query=Dental+Specialist,https://cosprings.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://cosprings.craigslist.org/search/jjj?query=Prosthodontist
denver,colorado,https://denver.craigslist.org,https://denver.craigslist.org/search/jjj?query=Orthodontist,https://denver.craigslist.org/search/jjj?query=Oral+Surgeon,https://denver.craigslist.org/search/jjj?query=Periodontist,https://denver.craigslist.org/search/jjj?query=Endodontist,https://denver.craigslist.org/search/jjj?query=Pedodontist,https://denver.craigslist.org/search/jjj?query=Dental+Specialist,https://denver.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://denver.craigslist.org/search/jjj?query=Prosthodontist
eastern CO,colorado,https://eastco.craigslist.org,https://eastco.craigslist.org/search/jjj?query=Orthodontist,https://eastco.craigslist.org/search/jjj?query=Oral+Surgeon,https://eastco.craigslist.org/search/jjj?query=Periodontist,https://eastco.craigslist.org/search/jjj?query=Endodontist,https://eastco.craigslist.org/search/jjj?query=Pedodontist,https://eastco.craigslist.org/search/jjj?query=Dental+Specialist,https://eastco.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://eastco.craigslist.org/search/jjj?query=Prosthodontist
fort collins / north CO,colorado,https://fortcollins.craigslist.org,https://fortcollins.craigslist.org/search/jjj?query=Orthodontist,https://fortcollins.craigslist.org/search/jjj?query=Oral+Surgeon,https://fortcollins.craigslist.org/search/jjj?query=Periodontist,https://fortcollins.craigslist.org/search/jjj?query=Endodontist,https://fortcollins.craigslist.org/search/jjj?query=Pedodontist,https://fortcollins.craigslist.org/search/jjj?query=Dental+Specialist,https://fortcollins.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://fortcollins.craigslist.org/search/jjj?query=Prosthodontist
high rockies,colorado,https://rockies.craigslist.org,https://rockies.craigslist.org/search/jjj?query=Orthodontist,https://rockies.craigslist.org/search/jjj?query=Oral+Surgeon,https://rockies.craigslist.org/search/jjj?query=Periodontist,https://rockies.craigslist.org/search/jjj?query=Endodontist,https://rockies.craigslist.org/search/jjj?query=Pedodontist,https://rockies.craigslist.org/search/jjj?query=Dental+Specialist,https://rockies.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://rockies.craigslist.org/search/jjj?query=Prosthodontist
pueblo,colorado,https://pueblo.craigslist.org,https://pueblo.craigslist.org/search/jjj?query=Orthodontist,https://pueblo.craigslist.org/search/jjj?query=Oral+Surgeon,https://pueblo.craigslist.org/search/jjj?query=Periodontist,https://pueblo.craigslist.org/search/jjj?query=Endodontist,https://pueblo.craigslist.org/search/jjj?query=Pedodontist,https://pueblo.craigslist.org/search/jjj?query=Dental+Specialist,https://pueblo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://pueblo.craigslist.org/search/jjj?query=Prosthodontist
western slope,colorado,https://westslope.craigslist.org,https://westslope.craigslist.org/search/jjj?query=Orthodontist,https://westslope.craigslist.org/search/jjj?query=Oral+Surgeon,https://westslope.craigslist.org/search/jjj?query=Periodontist,https://westslope.craigslist.org/search/jjj?query=Endodontist,https://westslope.craigslist.org/search/jjj?query=Pedodontist,https://westslope.craigslist.org/search/jjj?query=Dental+Specialist,https://westslope.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://westslope.craigslist.org/search/jjj?query=Prosthodontist
