City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
"fort smith, AR",oklahoma,https://fortsmith.craigslist.org,https://fortsmith.craigslist.org/search/jjj?query=Orthodontist,https://fortsmith.craigslist.org/search/jjj?query=Oral+Surgeon,https://fortsmith.craigslist.org/search/jjj?query=Periodontist,https://fortsmith.craigslist.org/search/jjj?query=Endodontist,https://fortsmith.craigslist.org/search/jjj?query=Pedodontist,https://fortsmith.craigslist.org/search/jjj?query=Dental+Specialist,https://fortsmith.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://fortsmith.craigslist.org/search/jjj?query=Prosthodontist
lawton,oklahoma,https://lawton.craigslist.org,https://lawton.craigslist.org/search/jjj?query=Orthodontist,https://lawton.craigslist.org/search/jjj?query=Oral+Surgeon,https://lawton.craigslist.org/search/jjj?query=Periodontist,https://lawton.craigslist.org/search/jjj?query=Endodontist,https://lawton.craigslist.org/search/jjj?query=Pedodontist,https://lawton.craigslist.org/search/jjj?query=Dental+Specialist,https://lawton.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://lawton.craigslist.org/search/jjj?query=Prosthodontist
northwest OK,oklahoma,https://enid.craigslist.org,https://enid.craigslist.org/search/jjj?query=Orthodontist,https://enid.craigslist.org/search/jjj?query=Oral+Surgeon,https://enid.craigslist.org/search/jjj?query=Periodontist,https://enid.craigslist.org/search/jjj?query=Endodontist,https://enid.craigslist.org/search/jjj?query=Pedodontist,https://enid.craigslist.org/search/jjj?query=Dental+Specialist,https://enid.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://enid.craigslist.org/search/jjj?query=Prosthodontist
oklahoma city,oklahoma,https://oklahomacity.craigslist.org,https://oklahomacity.craigslist.org/search/jjj?query=Orthodontist,https://oklahomacity.craigslist.org/search/jjj?query=Oral+Surgeon,https://oklahomacity.craigslist.org/search/jjj?query=Periodontist,https://oklahomacity.craigslist.org/search/jjj?query=Endodontist,https://oklahomacity.craigslist.org/search/jjj?query=Pedodontist,https://oklahomacity.craigslist.org/search/jjj?query=Dental+Specialist,https://oklahomacity.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://oklahomacity.craigslist.org/search/jjj?query=Prosthodontist
stillwater,oklahoma,https://stillwater.craigslist.org,https://stillwater.craigslist.org/search/jjj?query=Orthodontist,https://stillwater.craigslist.org/search/jjj?query=Oral+Surgeon,https://stillwater.craigslist.org/search/jjj?query=Periodontist,https://stillwater.craigslist.org/search/jjj?query=Endodontist,https://stillwater.craigslist.org/search/jjj?query=Pedodontist,https://stillwater.craigslist.org/search/jjj?query=Dental+Specialist,https://stillwater.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://stillwater.craigslist.org/search/jjj?query=Prosthodontist
texoma,oklahoma,https://texoma.craigslist.org,https://texoma.craigslist.org/search/jjj?query=Orthodontist,https://texoma.craigslist.org/search/jjj?query=Oral+Surgeon,https://texoma.craigslist.org/search/jjj?query=Periodontist,https://texoma.craigslist.org/search/jjj?query=Endodontist,https://texoma.craigslist.org/search/jjj?query=Pedodontist,https://texoma.craigslist.org/search/jjj?query=Dental+Specialist,https://texoma.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://texoma.craigslist.org/search/jjj?query=Prosthodontist
tulsa,oklahoma,https://tulsa.craigslist.org,https://tulsa.craigslist.org/search/jjj?query=Orthodontist,https://tulsa.craigslist.org/search/jjj?query=Oral+Surgeon,https://tulsa.craigslist.org/search/jjj?query=Periodontist,https://tulsa.craigslist.org/search/jjj?query=Endodontist,https://tulsa.craigslist.org/search/jjj?query=Pedodontist,https://tulsa.craigslist.org/search/jjj?query=Dental+Specialist,https://tulsa.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://tulsa.craigslist.org/search/jjj?query=Prosthodontist
