City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
central NJ,new jersey,https://cnj.craigslist.org,https://cnj.craigslist.org/search/jjj?query=Orthodontist,https://cnj.craigslist.org/search/jjj?query=Oral+Surgeon,https://cnj.craigslist.org/search/jjj?query=Periodontist,https://cnj.craigslist.org/search/jjj?query=Endodontist,https://cnj.craigslist.org/search/jjj?query=Pedodontist,https://cnj.craigslist.org/search/jjj?query=Dental+Specialist,https://cnj.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://cnj.craigslist.org/search/jjj?query=Prosthodontist
jersey shore,new jersey,https://jerseyshore.craigslist.org,https://jerseyshore.craigslist.org/search/jjj?query=Orthodontist,https://jerseyshore.craigslist.org/search/jjj?query=Oral+Surgeon,https://jerseyshore.craigslist.org/search/jjj?query=Periodontist,https://jerseyshore.craigslist.org/search/jjj?query=Endodontist,https://jerseyshore.craigslist.org/search/jjj?query=Pedodontist,https://jerseyshore.craigslist.org/search/jjj?query=Dental+Specialist,https://jerseyshore.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://jerseyshore.craigslist.org/search/jjj?query=Prosthodontist
north jersey,new jersey,https://newjersey.craigslist.org,https://newjersey.craigslist.org/search/jjj?query=Orthodontist,https://newjersey.craigslist.org/search/jjj?query=Oral+Surgeon,https://newjersey.craigslist.org/search/jjj?query=Periodontist,https://newjersey.craigslist.org/search/jjj?query=Endodontist,https://newjersey.craigslist.org/search/jjj?query=Pedodontist,https://newjersey.craigslist.org/search/jjj?query=Dental+Specialist,https://newjersey.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://newjersey.craigslist.org/search/jjj?query=Prosthodontist
south jersey,new jersey,https://southjersey.craigslist.org,https://southjersey.craigslist.org/search/jjj?query=Orthodontist,https://southjersey.craigslist.org/search/jjj?query=Oral+Surgeon,https://southjersey.craigslist.org/search/jjj?query=Periodontist,https://southjersey.craigslist.org/search/jjj?query=Endodontist,https://southjersey.craigslist.org/search/jjj?query=Pedodontist,https://southjersey.craigslist.org/search/jjj?query=Dental+Specialist,https://southjersey.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://southjersey.craigslist.org/search/jjj?query=Prosthodontist
NJ suburbs of NYC,new jersey,http://newyork.craigslist.org/jsy/,http://newyork.craigslist.org/jsy//search/jjj?query=Orthodontist,http://newyork.craigslist.org/jsy//search/jjj?query=Oral+Surgeon,http://newyork.craigslist.org/jsy//search/jjj?query=Periodontist,http://newyork.craigslist.org/jsy//search/jjj?query=Endodontist,http://newyork.craigslist.org/jsy//search/jjj?query=Pedodontist,http://newyork.craigslist.org/jsy//search/jjj?query=Dental+Specialist,http://newyork.craigslist.org/jsy//search/jjj?query=Dental+Anesthesiologist,http://newyork.craigslist.org/jsy//search/jjj?query=Prosthodontist
