City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
merced,california,https://merced.craigslist.org,https://merced.craigslist.org/search/jjj?query=Orthodontist,https://merced.craigslist.org/search/jjj?query=Oral+Surgeon,https://merced.craigslist.org/search/jjj?query=Periodontist,https://merced.craigslist.org/search/jjj?query=Endodontist,https://merced.craigslist.org/search/jjj?query=Pedodontist,https://merced.craigslist.org/search/jjj?query=Dental+Specialist,https://merced.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://merced.craigslist.org/search/jjj?query=Prosthodontist
modesto,california,https://modesto.craigslist.org,https://modesto.craigslist.org/search/jjj?query=Orthodontist,https://modesto.craigslist.org/search/jjj?query=Oral+Surgeon,https://modesto.craigslist.org/search/jjj?query=Periodontist,https://modesto.craigslist.org/search/jjj?query=Endodontist,https://modesto.craigslist.org/search/jjj?query=Pedodontist,https://modesto.craigslist.org/search/jjj?query=Dental+Specialist,https://modesto.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://modesto.craigslist.org/search/jjj?query=Prosthodontist
monterey bay,california,https://monterey.craigslist.org,https://monterey.craigslist.org/search/jjj?query=Orthodontist,https://monterey.craigslist.org/search/jjj?query=Oral+Surgeon,https://monterey.craigslist.org/search/jjj?query=Periodontist,https://monterey.craigslist.org/search/jjj?query=Endodontist,https://monterey.craigslist.org/search/jjj?query=Pedodontist,https://monterey.craigslist.org/search/jjj?query=Dental+Specialist,https://monterey.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://monterey.craigslist.org/search/jjj?query=Prosthodontist
orange county,california,https://orangecounty.craigslist.org,https://orangecounty.craigslist.org/search/jjj?query=Orthodontist,https://orangecounty.craigslist.org/search/jjj?query=Oral+Surgeon,https://orangecounty.craigslist.org/search/jjj?query=Periodontist,https://orangecounty.craigslist.org/search/jjj?query=Endodontist,https://orangecounty.craigslist.org/search/jjj?query=Pedodontist,https://orangecounty.craigslist.org/search/jjj?query=Dental+Specialist,https://orangecounty.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://orangecounty.craigslist.org/search/jjj?query=Prosthodontist
palm springs,california,https://palmsprings.craigslist.org,https://palmsprings.craigslist.org/search/jjj?query=Orthodontist,https://palmsprings.craigslist.org/search/jjj?query=Oral+Surgeon,https://palmsprings.craigslist.org/search/jjj?query=Periodontist,https://palmsprings.craigslist.org/search/jjj?query=Endodontist,https://palmsprings.craigslist.org/search/jjj?query=Pedodontist,https://palmsprings.craigslist.org/search/jjj?query=Dental+Specialist,https://palmsprings.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://palmsprings.craigslist.org/search/jjj?query=Prosthodontist
redding,california,https://redding.craigslist.org,https://redding.craigslist.org/search/jjj?query=Orthodontist,https://redding.craigslist.org/search/jjj?query=Oral+Surgeon,https://redding.craigslist.org/search/jjj?query=Periodontist,https://redding.craigslist.org/search/jjj?query=Endodontist,https://redding.craigslist.org/search/jjj?query=Pedodontist,https://redding.craigslist.org/search/jjj?query=Dental+Specialist,https://redding.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://redding.craigslist.org/search/jjj?query=Prosthodontist
reno / tahoe,california,https://reno.craigslist.org,https://reno.craigslist.org/search/jjj?query=Orthodontist,https://reno.craigslist.org/search/jjj?query=Oral+Surgeon,https://reno.craigslist.org/search/jjj?query=Periodontist,https://reno.craigslist.org/search/jjj?query=Endodontist,https://reno.craigslist.org/search/jjj?query=Pedodontist,https://reno.craigslist.org/search/jjj?query=Dental+Specialist,https://reno.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://reno.craigslist.org/search/jjj?query=Prosthodontist
sacramento,california,https://sacramento.craigslist.org,https://sacramento.craigslist.org/search/jjj?query=Orthodontist,https://sacramento.craigslist.org/search/jjj?query=Oral+Surgeon,https://sacramento.craigslist.org/search/jjj?query=Periodontist,https://sacramento.craigslist.org/search/jjj?query=Endodontist,https://sacramento.craigslist.org/search/jjj?query=Pedodontist,https://sacramento.craigslist.org/search/jjj?query=Dental+Specialist,https://sacramento.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://sacramento.craigslist.org/search/jjj?query=Prosthodontist
san diego,california,https://sandiego.craigslist.org,https://sandiego.craigslist.org/search/jjj?query=Orthodontist,https://sandiego.craigslist.org/search/jjj?query=Oral+Surgeon,https://sandiego.craigslist.org/search/jjj?query=Periodontist,https://sandiego.craigslist.org/search/jjj?query=Endodontist,https://sandiego.craigslist.org/search/jjj?query=Pedodontist,https://sandiego.craigslist.org/search/jjj?query=Dental+Specialist,https://sandiego.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://sandiego.craigslist.org/search/jjj?query=Prosthodontist
san luis obispo,california,https://slo.craigslist.org,https://slo.craigslist.org/search/jjj?query=Orthodontist,https://slo.craigslist.org/search/jjj?query=Oral+Surgeon,https://slo.craigslist.org/search/jjj?query=Periodontist,https://slo.craigslist.org/search/jjj?query=Endodontist,https://slo.craigslist.org/search/jjj?query=Pedodontist,https://slo.craigslist.org/search/jjj?query=Dental+Specialist,https://slo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://slo.craigslist.org/search/jjj?query=Prosthodontist
